ID,category_1,category_2,external_name,logFC
ENSORLG00000002629,1,TDS_best,HOMO_LOC101175110,-1.771235496
ENSORLG00000002652,1,TDS_best,HOMO_early endosome antigen 1-like (LOC101161192),3.555518723
ENSORLG00000002760,1,TDS_best,slc24a5,1.434315856
ENSORLG00000003027,1,TDS_best,adra2b,1.085884242
ENSORLG00000003101,1,TDS_best,si:ch211-170n20.3,-1.300259843
ENSORLG00000003103,1,TDS_best,si:ch211-170n20.3,-1.303546262
ENSORLG00000003123,1,TDS_best,mitfa,1.625890196
ENSORLG00000003410,1,TDS_best,HOMO_melanoregulin-like (LOC101159745),1.518764297
ENSORLG00000003976,1,TDS_best,HOMO_cytochrome P450 3A30-like (LOC101155538),-1.001007328
ENSORLG00000004282,1,TDS_best,ace,-1.106777717
ENSORLG00000004326,1,TDS_best,tyrp1a,1.550416294
ENSORLG00000004344,1,TDS_best,kif5bb,1.369501064
ENSORLG00000004413,1,TDS_best,gckr,-1.519219538
ENSORLG00000004539,1,TDS_best,TYR,1.786564216
ENSORLG00000004723,1,TDS_best,tyrp1b,1.295766445
ENSORLG00000005218,1,TDS_best,HOMO_leukocyte elastase inhibitor-like (LOC101169985),-4.745564723
ENSORLG00000005316,1,TDS_best,hspa8,1.608115806
ENSORLG00000005485,1,TDS_best,HOMO_nucleolar transcription factor 1-like (LOC101159471),-1.197264638
ENSORLG00000005506,1,TDS_best,si:dkey-251i10.2,1.492370043
ENSORLG00000005563,1,TDS_best,cuzd1.2,-1.211309939
ENSORLG00000005947,1,TDS_best,HOMO_carbohydrate sulfotransferase 12-like (LOC101175198),4.543443231
ENSORLG00000006038,1,TDS_best,gpr61,1.598630035
ENSORLG00000006224,1,TDS_best,tgm5l,1.743991954
ENSORLG00000006368,1,TDS_best,HOMO_urokinase plasminogen activator surface receptor-like (LOC101171938),1.28060392
ENSORLG00000006798,1,TDS_best,HOMO_major histocompatibility complex class I-related gene protein-like (orla-uba),1.867961118
ENSORLG00000007024,1,TDS_best,G6PD,-1.665732383
ENSORLG00000007074,1,TDS_best,si:dkey-73n8.3,1.952889373
ENSORLG00000007163,1,TDS_best,mchr2,1.318283901
ENSORLG00000007497,1,TDS_best,TSPAN10,1.696065342
ENSORLG00000007559,1,TDS_best,MLANA,1.220478186
ENSORLG00000007849,1,TDS_best,cxcl19,-1.393575161
ENSORLG00000007864,1,TDS_best,opn4xa,2.161783778
ENSORLG00000008054,1,TDS_best,slc2a11b,1.219047331
ENSORLG00000008184,1,TDS_best,tlr3,-1.237190883
ENSORLG00000008473,1,TDS_best,PNPLA1,2.632268215
ENSORLG00000008715,1,TDS_best,socs1b,-1.310133038
ENSORLG00000009262,1,TDS_best,HOMO_leukocyte cysteine proteinase inhibitor 1-like (LOC101164440),3.02914148
ENSORLG00000009400,1,TDS_best,mc1r,1.458453984
ENSORLG00000009502,1,TDS_best,dusp13a,-1.277200887
ENSORLG00000009880,1,TDS_best,SAMD9L,-3.734903128
ENSORLG00000009925,1,TDS_best,HOMO_complement C1q-like protein 3 (LOC101162872),1.92952505
ENSORLG00000010054,1,TDS_best,HOMO_uncharacterized transmembrane protein DDB_G0289901-like (LOC101171531),-2.607927837
ENSORLG00000010154,1,TDS_best,HOMO_L-selectin-like (LOC105358125),-2.914463815
ENSORLG00000010177,1,TDS_best,HOMO_C-type mannose receptor 2-like (LOC105356461),-4.758567849
ENSORLG00000010256,1,TDS_best,LAMB3,1.167560911
ENSORLG00000010880,1,TDS_best,zp2l2 (2 of 2),-2.458241809
ENSORLG00000010905,1,TDS_best,tyr,1.328010916
ENSORLG00000011293,1,TDS_best,retsatl,2.503122494
ENSORLG00000011569,1,TDS_best,fam213ab,1.245769546
ENSORLG00000011733,1,TDS_best,rhcgb,1.085112058
ENSORLG00000011826,1,TDS_best,nceh1a,-1.241830048
ENSORLG00000012352,1,TDS_best,c1r,1.040379056
ENSORLG00000012848,1,TDS_best,slc2a15b,1.514094845
ENSORLG00000012895,1,TDS_best,slc2a6,-1.709470703
ENSORLG00000012977,1,TDS_best,si:ch73-7i4.2,1.995716178
ENSORLG00000013017,1,TDS_best,ift88,1.09124118
ENSORLG00000013074,1,TDS_best,PRTFDC1,1.487252346
ENSORLG00000013461,1,TDS_best,mitfb,1.168507012
ENSORLG00000013773,1,TDS_best,NT5C3B,-1.278096306
ENSORLG00000014007,1,TDS_best,zdhhc18b,1.479569174
ENSORLG00000014358,1,TDS_best,mep1b,-1.207620635
ENSORLG00000014926,1,TDS_best,plekhf1,-1.492850687
ENSORLG00000015001,1,TDS_best,pmela,1.847416909
ENSORLG00000015052,1,TDS_best,HOMO_hepcidin-like (LOC101157971),3.694833383
ENSORLG00000015345,1,TDS_best,si:ch211-244b2.4,-1.210335928
ENSORLG00000015645,1,TDS_best,rrnad1,-1.344549892
ENSORLG00000015690,1,TDS_best,CYP2W1,-5.513116804
ENSORLG00000015893,1,TDS_best,oca2,1.277369482
ENSORLG00000015952,1,TDS_best,per3,-1.003657714
ENSORLG00000016164,1,TDS_best,IFITM10,-3.895750038
ENSORLG00000016829,1,TDS_best,TNFRSF14,-1.302527096
ENSORLG00000017099,1,TDS_best,ECHDC3,-1.131555942
ENSORLG00000017172,1,TDS_best,HOMO_GTPase IMAP family member 8-like (LOC101164984),-1.558965403
ENSORLG00000017257,1,TDS_best,c1qc,-1.192745907
ENSORLG00000017411,1,TDS_best,nots,-2.319093777
ENSORLG00000017942,1,TDS_best,apoda.2,-2.341537365
ENSORLG00000017946,1,TDS_best,apoda.2,-1.789683969
ENSORLG00000018160,1,TDS_best,C3,-2.249589022
ENSORLG00000018272,1,TDS_best,FLNB,1.331422566
ENSORLG00000018315,1,TDS_best,No_homo,-2.172047145
ENSORLG00000018417,1,TDS_best,HOMO_Fc receptor-like B (LOC101161702),-1.821029859
ENSORLG00000018566,1,TDS_best,mlpha,1.161551362
ENSORLG00000018575,1,TDS_best,HOMO_melanophilin-like (LOC101156308),1.376205156
ENSORLG00000018598,1,TDS_best,epdl1,-1.281207152
ENSORLG00000018864,1,TDS_best,HOMO_myelin protein P0-like (LOC101167673),-3.518267656
ENSORLG00000019009,1,TDS_best,IL4I1,-1.83617044
ENSORLG00000019174,1,TDS_best,HOMO_olfactomedin-4-like (LOC101170909),-1.409845142
ENSORLG00000019182,1,TDS_best,si:ch211-194m7.3,-1.080055662
ENSORLG00000019328,1,TDS_best,FRRS1 (1 of 2),1.285994943
ENSORLG00000019336,1,TDS_best,FRRS1 (2 of 2),1.215887995
ENSORLG00000019338,1,TDS_best,HOMO_gastrula zinc finger protein XlCGF8.2DB-like (LOC101162891),-5.928585667
ENSORLG00000019355,1,TDS_best,HOMO_leukocyte elastase inhibitor-like (LOC101163464),-7.661778098
ENSORLG00000019576,1,TDS_best,HOMO_arachidonate 8S-lipoxygenase-like (LOC101168429),2.756724161
ENSORLG00000019589,1,TDS_best,IL4I1,2.969292023
ENSORLG00000019792,1,TDS_best,HOMO_ependymin-2-like (LOC105357280),-1.705635001
ENSORLG00000019887,1,TDS_best,HOMO_myelin-oligodendrocyte glycoprotein-like (LOC101160533),-10.6097328
ENSORLG00000019909,1,TDS_best,flncb,1.407215037
ENSORLG00000019947,1,TDS_best,HOMO_cytochrome P450 2J6-like (LOC101169416),-2.889998816
ENSORLG00000020013,1,TDS_best,"HOMO_6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase-like (LOC101162989)",-2.231176561
ENSORLG00000020085,1,TDS_best,bptf,-3.606117351
ENSORLG00000020268,1,TDS_best,RNH1 (22 of 23),-2.260833498
ENSORLG00000020303,1,TDS_best,HOMO_natterin-like protein (LOC101162895),-1.334991277
ENSORLG00000020430,1,TDS_best,HOMO_natterin-like protein (LOC105353794),1.577555909
ENSORLG00000020464,1,TDS_best,HOMO_zinc finger protein 436-like (LOC105355194),-3.695268763
ENSORLG00000020751,1,TDS_best,HOMO_zinc finger protein 184-like (LOC103360187),-1.311698393
ENSORLG00000000504,0.7,TDS_extra,No_homo,-1.095157233
ENSORLG00000000675,0.7,TDS_extra,ankrd34ba,1.938654141
ENSORLG00000001003,0.7,TDS_extra,smc1b,2.318200199
ENSORLG00000001248,0.7,TDS_extra,TRIM14,-2.146011586
ENSORLG00000002163,0.7,TDS_extra,si:dkey-88n24.5,-2.69734143
ENSORLG00000002484,0.7,TDS_extra,bscl2l,1.672062205
ENSORLG00000003119,0.7,TDS_extra,rab34b,1.030749655
ENSORLG00000003571,0.7,TDS_extra,ppef1,1.399197291
ENSORLG00000004118,0.7,TDS_extra,STRADB,-1.934776298
ENSORLG00000005073,0.7,TDS_extra,HOMO_C-X-C motif chemokine 6-like (LOC101157707),-1.903570237
ENSORLG00000005199,0.7,TDS_extra,SLC28A3,-1.090415295
ENSORLG00000005473,0.7,TDS_extra,GDNF,1.535313878
ENSORLG00000006046,0.7,TDS_extra,HGFAC,1.019482033
ENSORLG00000006142,0.7,TDS_extra,setd8b,-1.01619952
ENSORLG00000006451,0.7,TDS_extra,PPEF2,1.191712128
ENSORLG00000006976,0.7,TDS_extra,zgc:195001,-1.045451218
ENSORLG00000007232,0.7,TDS_extra,HOMO_5-hydroxytryptamine receptor 3C-like (LOC101157121),2.367451329
ENSORLG00000007901,0.7,TDS_extra,si:dkey-13m1.2,-1.213868349
ENSORLG00000007929,0.7,TDS_extra,gnav1,2.670032374
ENSORLG00000008290,0.7,TDS_extra,cutc,2.631989236
ENSORLG00000008419,0.7,TDS_extra,MCMDC2,0.997177905
ENSORLG00000008608,0.7,TDS_extra,HOMO_interferon-induced protein 44-like (LOC101165968),-1.012190541
ENSORLG00000009164,0.7,TDS_extra,"HOMO_H-2 class II histocompatibility antigen, I-E beta chain (LOC101170459)",-1.627716487
ENSORLG00000009169,0.7,TDS_extra,SLC26A6,-1.232806226
ENSORLG00000010038,0.7,TDS_extra,"HOMO_zinc finger, DHHC-type containing 2 (zdhhc2)",1.701725491
ENSORLG00000011373,0.7,TDS_extra,irg1,-2.602912282
ENSORLG00000011996,0.7,TDS_extra,ehf,-1.074319022
ENSORLG00000012026,0.7,TDS_extra,HOMO_afadin- and alpha-actinin-binding protein B-like (LOC101170653),1.651602983
ENSORLG00000012423,0.7,TDS_extra,HOMO_UPF0392 protein F13G3.3-like (LOC101175673),-1.10161491
ENSORLG00000012679,0.7,TDS_extra,HOMO_TNFAIP3-interacting protein 1-like (LOC101166590),0.999191994
ENSORLG00000013345,0.7,TDS_extra,ppapdc1a,1.676405013
ENSORLG00000013456,0.7,TDS_extra,NO_homo,1.657420018
ENSORLG00000013462,0.7,TDS_extra,TRAF3IP2,1.654436976
ENSORLG00000013629,0.7,TDS_extra,OVGP1,1.013999205
ENSORLG00000013692,0.7,TDS_extra,P3H4,-1.901010247
ENSORLG00000014572,0.7,TDS_extra,ccl34b.3,-1.284406226
ENSORLG00000014802,0.7,TDS_extra,si:dkey-183n20.15,1.313729389
ENSORLG00000015051,0.7,TDS_extra,NO_homo,2.853797614
ENSORLG00000015055,0.7,TDS_extra,No_homo,2.647698256
ENSORLG00000015462,0.7,TDS_extra,si:ch211-209j12.1,-1.011749763
ENSORLG00000015618,0.7,TDS_extra,HOMO_G2/M phase-specific E3 ubiquitin-protein ligase-like (LOC105356806),1.363489379
ENSORLG00000015663,0.7,TDS_extra,cd83,-1.201785
ENSORLG00000015824,0.7,TDS_extra,lysmd1,1.07176726
ENSORLG00000015951,0.7,TDS_extra,tdrd6,1.69786985
ENSORLG00000017109,0.7,TDS_extra,NO_homo,2.221319985
ENSORLG00000017233,0.7,TDS_extra,soat1,1.039567646
ENSORLG00000018261,0.7,TDS_extra,HOMO_natterin-like protein (LOC105353793),2.427408438
ENSORLG00000019168,0.7,TDS_extra,HOMO_olfactomedin-4-like (LOC101170656),-1.110758895
ENSORLG00000019564,0.7,TDS_extra,si:dkey-205h13.2,2.725980838
ENSORLG00000019881,0.7,TDS_extra,NO-homo,1.858450874
ENSORLG00000020621,0.7,TDS_extra,nitr9,-1.053486436
ENSORLG00000001780,0,TDS_ref,Sox3,-0.025885132
ENSORLG00000004325,0,TDS_ref,Ucp3,-0.216606501
ENSORLG00000004345,0,TDS_ref,ptch1,0.010463203
ENSORLG00000005455,0,TDS_ref,gli1,0.032945303
ENSORLG00000005458,0,TDS_ref,Raver1,-0.503481909
ENSORLG00000005665,0,TDS_ref,Klh38b,0.457556771
ENSORLG00000006269,0,TDS_ref,YBX2,0.346081406
ENSORLG00000006356,0,TDS_ref,Smox,0.105673788
ENSORLG00000007554,0,TDS_ref,Map2k6,-0.051109689
ENSORLG00000008275,0,TDS_ref,gli2b,-0.220815992
ENSORLG00000010364,0,TDS_ref,gli2a,-0.214753977
ENSORLG00000010987,0,TDS_ref,Cenpf,-0.493324637
ENSORLG00000011120,0,TDS_ref,Numa1,-0.493971719
ENSORLG00000013777,0,TDS_ref,Kpna2,-0.387449619
ENSORLG00000013838,0,TDS_ref,Map2k6,-0.100094822
ENSORLG00000015192,0,TDS_ref,Kpna2,-0.123785922
ENSORLG00000016137,0,TDS_ref,ptch2,0.012108819
ENSORLG00000016457,0,TDS_ref,Parpbp,-0.596798797
ENSORLG00000000317,0,TDS_ref,Cyclin D1,-0.177776224
ENSORLG00000001386,0,TDS_ref,pomca,0.180286025
ENSORLG00000003982,0,TDS_ref,gadd45ga,0.203267138
ENSORLG00000005244,0,TDS_ref,gadd45a,0.155107053
ENSORLG00000006390,0,TDS_ref,tp53,-0.222666358
ENSORLG00000007021,0,TDS_ref,mycb,0.521911279
ENSORLG00000007645,0,TDS_ref,Ror_,0.12472648
ENSORLG00000013231,0,TDS_ref,gadd45ba,-0.079476533
ENSORLG00000013657,0,TDS_ref,Cyclin B1,0.47609736
ENSORLG00000014316,0,TDS_ref,gadd45bb,0.98622167
ENSORLG00000014766,0,TDS_ref,gadd45g,-0.068956074
ENSORLG00000014880,0,TDS_ref,pomcb,0.349334252
ENSORLG00000016431,0,TDS_ref,nr1d2a,0.079296547
ENSORLG00000017163,0,TDS_ref,mdm2,0.285834223
ENSORLG00000001112,0,TDS_ref,Wee1,0.014701971
ENSORLG00000004495,0,TDS_ref,clockb,0.124696892
ENSORLG00000005149,0,TDS_ref,AANAT2,-0.126692005
ENSORLG00000006929,0,TDS_ref,Per1,-0.378346604
ENSORLG00000008302,0,TDS_ref,dlgap1a,-0.079450151
ENSORLG00000009426,0,TDS_ref,Npas2,0.276749065
ENSORLG00000010388,0,TDS_ref,dlgap1b,-0.116689854
ENSORLG00000015066,0,TDS_ref,timeless,-0.056432356
ENSORLG00000015456,0,TDS_ref,Per2,-0.233169715
ENSORLG00000016382,0,TDS_ref,cry1ab,-0.453541689
ENSORLG00000016410,0,TDS_ref,cry1aa,-0.130741518
ENSORLG00000016612,0,TDS_ref,Per2,0.021528788
ENSORLG00000019097,0,TDS_ref,cry1ba,0.2866175
ENSORLG00000019370,0,TDS_ref,arntl1a,0.347417285
ENSORLG00000000813,0,TDS_ref,fancd2,-0.083330361
ENSORLG00000001695,0,TDS_ref,fancl_-0.142306192,
ENSORLG00000014821,0,TDS_ref,fancj_brip1),0.123121973
ENSORLG00000017835,0,TDS_ref,fancb,0.047859639
ENSORLG00000002102,1,TDS_WU,lye(4 of 6),1.053794161
ENSORLG00000020370,1,TDS_WU,HOMO_AN1-type zinc finger protein 3-like (LOC101174243),-1.755624109
ENSORLG00000006812,1,TDS_WU,HOMO_zinc/cadmium resistance protein-like (LOC101162858),1.172729173
ENSORLG00000002649,1,TDS_WU,"HOMO_NACHT, LRR and PYD domains-containing protein 14-like (LOC101165920)",-1.140276278
ENSORLG00000017658,1,TDS_WU,HOMO_angiopoietin-2-like (LOC101167162),1.477197185
ENSORLG00000019728,1,TDS_WU,HOMO_gamma-crystallin M3-like (LOC101164459),-19.6153155
ENSORLG00000017168,1,TDS_WU,ACTBL2(1 of 3),1.072542902
ENSORLG00000019793,1,TDS_WU,HOMO_myelin-oligodendrocyte glycoprotein-like (LOC101161542),-1.388757788
ENSORLG00000020767,1,TDS_WU,"HOMO_integrin, beta 4 (itgb4)",1.479559416
ENSORLG00000018470,1,TDS_WU,ftr98(35 of 39),-1.518612876
ENSORLG00000012958,1,TDS_WU,il17d,1.199212087
ENSORLG00000007765,1,TDS_WU,sat2b,1.047050296
ENSORLG00000015785,1,TDS_WU,FAM177B,1.010001018
ENSORLG00000008028,1,TDS_WU,ADAP1,-1.044457754
ENSORLG00000020198,1,TDS_WU,HOMO_protein NLRC3-like (LOC105353768),-1.105830821
ENSORLG00000008060,1,TDS_WU,slc2a11b(2 of 2),0.976606557
ENSORLG00000018856,1,TDS_WU,MHC class II antigen beta chain;,-1.15187696
ENSORLG00000004774,1,TDS_WU,dclre1a,1.050429282
ENSORLG00000019686,1,TDS_WU,HO_homo,-1.658928432
ENSORLG00000012209,1,TDS_WU,VMP1(1 of 2),2.103990731
ENSORLG00000008701,1,TDS_WU,HOMO_striated muscle preferentially expressed protein kinase-like (LOC101174306),-0.979427179
ENSORLG00000004452,1,TDS_WU,HOMO_mast cell protease 1A-like (LOC101164221),1.940684967
ENSORLG00000008285,1,TDS_WU,trpc2b,1.261108928
ENSORLG00000012171,1,TDS_WU,ADRA1A(1 of 2),-0.988908385
ENSORLG00000016946,1,TDS_WU,slc38a11,1.040346141
ENSORLG00000002540,1,TDS_WU,tlr2,-1.155516586
ENSORLG00000008113,1,TDS_WU,foxn1,-1.303589696
ENSORLG00000014854,1,TDS_WU,cracr2ab,1.097226668
ENSORLG00000008103,1,TDS_WU,cep72,1.00543918
ENSORLG00000007808,1,TDS_WU,tmc6a,1.169057507
ENSORLG00000020643,1,TDS_WU,dhrsx,1.004923697
ENSORLG00000003041,1,TDS_WU,si:dkey-59l11.10,-1.08238406
ENSORLG00000020473,1,TDS_WU,HOMO_granzyme E-like (LOC101158094),-1.124655097
ENSORLG00000002555,1,TDS_WU,NO_homo,-1.90561803
ENSORLG00000010656,1,TDS_WU,HOMO_ras guanine nucleotide exchange factor K-like (LOC105354587),-1.041300426
ENSORLG00000002431,1,TDS_WU,HOMO_betaine--homocysteine S-methyltransferase 1-like (LOC101175580),-1.379935451
ENSORLG00000013560,1,TDS_WU,kcnj1a.3,1.124242624
ENSORLG00000005588,1,TDS_WU,TMEM47,1.049476395
ENSORLG00000018596,1,TDS_WU,cfap58,1.030792175
ENSORLG00000003451,1,TDS_WU,rxfp2b,1.12715594
ENSORLG00000007987,1,TDS_WU,ch25hl1.1,-1.127299865
ENSORLG00000017153,1,TDS_WU,"HOMO_Orla-UHA, Orla-UHA, Orla-UHA, Orla-UHA gene for nonclassical MHC class I molecule",-4.972478204
ENSORLG00000020086,0,TDS_tox,ANXA5a,-0.005817327
ENSORLG00000011849,0,TDS_tox,TNFSF10,-0.652689656
ENSORLG00000003753,0,TDS_tox,HMOX1,0.041674033
ENSORLG00000005891,0,TDS_tox,CRYAB,0.730858658
ENSORLG00000016225,0,TDS_tox,ERCC1,-0.28933902
ENSORLG00000000284,0,TDS_tox,CDKN1A,0.392849174
ENSORLG00000016636,0,TDS_tox,IGFBP6b,0.338441381
ENSORLG00000013974,0,TDS_tox,BCL2L1,0.095201581
ENSORLG00000000945,0,TDS_tox,E2F1,-0.260796546
ENSORLG00000001050,0,TDS_tox,NOS2,0.455123911
ENSORLG00000007126,0,TDS_tox,UNG,0.040605783
ENSORLG00000010473,0,TDS_tox,SERPINE1,0.334070185
ENSORLG00000006260,0,TDS_tox,DNAJA1,0.026446965
ENSORLG00000001678,0,TDS_tox,RAD50,-0.008272357
ENSORLG00000015186,0,TDS_tox,XRCC1,-0.096302951
ENSORLG00000005361,0,TDS_tox,DDIT3,0.121578082
ENSORLG00000020130,0,TDS_tox,CHEK2,-0.0691826
ENSORLG00000005095,0,TDS_tox,PTGS1,0.128257339
ENSORLG00000004568,0,TDS_tox,BAXa,0.096829774
ENSORLG00000005451,0,TDS_tox,EGR1,-0.031420427
ENSORLG00000004393,0,TDS_tox,ERCC3,-0.052565763
ENSORLG00000011198,0,TDS_tox,CASP8,-0.059762823
ENSORLG00000003850,0,TDS_tox,MIF,0.033565862
ENSORLG00000000624,0,TDS_tox,GSR,-0.025840191
ENSORLG00000007920_0,0,TDS_tox,15.63,0.0321313
ENSORLG00000012828,0,TDS_tox,ATM,0.005809786
ENSORLG00000010533,0,TDS_tox,PRDX1,0.10295673
ENSORLG00000013261,0,TDS_tox,SOD2,-0.057519915
ENSORLG00000016606,0,TDS_tox,RAD23Aa,-0.040468362
ENSORLG00000001624,0,TDS_tox,EPHX2,0.038988084
ENSORLG00000001399,0,TDS_tox,DDB1,-0.023740085
ENSORLG00000004389_0,0,TDS_tox,86.51,-0.066515369
ENSORLG00000000823,0,TDS_tox,GPX1b,-0.163028088
ENSORLG00000001746,0,TDS_tox,CAT,0.029771153
ENSORLG00000002937,0,TDS_tox,PCNA,-0.135351484
ENSORLG00000005961,0,TDS_tox,GSTM1,-0.031000554
ENSORLG00000011398,0,TDS_tox,PORb,0.122214506
ENSORLG00000014528,0,TDS_tox,PRDX2,-0.044128776
ENSORLG00000014421,0,TDS_tox,CYP1A,0.252291499
ENSORLG00000020478,0,TDS_tox,UGT1A1,0.051155764
ENSORLG00000010277,1,TDS_last min,crabp2a,0.932719672
Xmrk,1,Xmrk,Xmrk,5
ENSORLG00000019087,0.8,TDS_WU,Homo_microfibril-associated glycoprotein 4,1.787108574
ENSORLG00000015481,0.9,TDS_WU,Homo_interferon-induced GTP-binding protein Mx,1.690562619
ENSORLG00000004187,0.7,TDS_WU,Homo_complement C1q-like protein 2,2.521502279
ENSORLG00000016928,0,wavelength.brain,prl,0.525067369
ENSORLG00000019556,0,wavelength.brain,gh1,-0.041993134
ENSORLG00000004247,0,wavelength.skin,finca,-0.021405736
ENSORLG00000005687,0,wavelength.skin,usp13,-0.039864634
ENSORLG00000003433,0,wavelength.skin,XIRP2,-0.024720196
ENSORLG00000007567,0,wavelength.skin,klhl43,0.230390133
ENSORLG00000002966,0,wavelength.skin,f8,-0.505395243
ENSORLG00000000217,0,wavelength.skin,il1b,0.311712082
ENSORLG00000009612,0,wavelength.skin,lepa,-1.264499815
ENSORLG00000000577,0,wavelength.skin,usp25,0.224673165
ENSORLG00000003181,0,wavelength.skin,noxo1b,-0.584962501
ENSORLG00000001187,0.8,TDS_WU,si:ch73-368j24.7,-3.441823729
ENSORLG00000012783,0.9,TDS_WU,Homo_serine/threonine-protein kinase pim-2,2.109931583
ENSORLG00000000491,0.7,TDS_WU,stag3,1.901172526
ENSORLG00000009285,0,wavelength.skin,Homo_beta-taxilin-like isoform X1,-0.500848124
